algorithm,N,mean_SW,std_SW,sem_SW,n_runs,p_vs_NB3R
NB3R,5,2.8397,0.2134,0.0477,20,
NB3R,10,0.7948,0.4881,0.1091,20,
NB3R,12,-1.5063,0.5335,0.1193,20,
NB3R,15,-6.6511,0.6873,0.1537,20,
NB3R,20,-19.4132,0.7193,0.1608,20,
NB3R,30,-60.5234,1.1429,0.2556,20,
NB3R,50,-201.7630,1.6412,0.3670,20,
QA-MAB,5,2.2853,0.3616,0.0808,20,1.8724769700875955e-06
QA-MAB,10,0.6835,0.5143,0.1150,20,0.28072210952300597
QA-MAB,12,-1.1064,0.6543,0.1463,20,0.0009582028548228613
QA-MAB,15,-5.8015,0.7148,0.1598,20,2.458305627003609e-05
QA-MAB,20,-16.9708,0.6176,0.1381,20,8.294259621968805e-10
QA-MAB,30,-54.6617,1.6790,0.3754,20,9.779134058631047e-12
QA-MAB,50,-186.8020,1.9830,0.4434,20,3.6568873636856825e-17
QA-MAB+FixB,5,2.2679,0.3290,0.0736,20,
QA-MAB+FixB,10,0.5749,0.5486,0.1227,20,
QA-MAB+FixB,12,-1.0287,0.5396,0.1207,20,
QA-MAB+FixB,15,-5.7880,0.8936,0.1998,20,
QA-MAB+FixB,20,-16.9332,0.7580,0.1695,20,
QA-MAB+FixB,30,-54.8335,1.5826,0.3539,20,
QA-MAB+FixB,50,-186.3086,2.1020,0.4700,20,
Random,5,1.8103,0.1444,0.0323,20,
Random,10,-1.4270,0.1995,0.0446,20,
Random,12,-4.1239,0.3071,0.0687,20,
Random,15,-9.8039,0.3349,0.0749,20,
Random,20,-23.0020,0.4825,0.1079,20,
Random,30,-64.8166,0.5659,0.1265,20,
Random,50,-207.7806,0.6642,0.1485,20,
